,證券代號,證券名稱
1095,8341,日友
1096,8367,建新國際
1097,8374,羅昇
1098,8404,百和興業-KY
1099,8411,福貞-KY
1100,8422,可寧衛
1101,8429,金麗-KY
1102,8438,昶昕
1103,8442,威宏-KY
1104,8443,阿瘦
1105,8454,富邦媒
1106,8462,柏文
1107,8463,潤泰材
1108,8464,億豐
1109,8466,美吉吉-KY
1110,8467,波力-KY
1111,8473,山林水
1112,8478,東哥遊艇
1113,8480,泰昇-KY
1114,8481,政伸
1115,8482,商億-KY
1116,8488,吉源-KY
1117,8499,鼎炫-KY
1118,8926,台汽電
1119,8940,新天地
1120,8996,高力
1121,9103,美德醫療-DR
1122,910322,康師傅-DR
1123,9105,泰金寶-DR
1124,910861,神州-DR
1125,9110,越南控-DR
1126,911608,明輝-DR
1127,911622,泰聚亨-DR
1128,911868,同方友友-DR
1129,912000,晨訊科-DR
1130,9136,巨騰-DR
1131,9802,鈺齊-KY
1132,9902,台火
1133,9904,寶成
1134,9905,大華
1135,9906,欣巴巴
1136,9907,統一實
1137,9908,大台北
1138,9910,豐泰
1139,9911,櫻花
1140,9912,偉聯
1141,9914,美利達
1142,9917,中保科
1143,9918,欣天然
1144,9919,康那香
1145,9921,巨大
1146,9924,福興
1147,9925,新保
1148,9926,新海
1149,9927,泰銘
1150,9928,中視
1151,9929,秋雨
1152,9930,中聯資源
1153,9931,欣高
1154,9933,中鼎
1155,9934,成霖
1156,9935,慶豐富
1157,9937,全國
1158,9938,百和
1159,9939,宏全
1160,9940,信義
1161,9941,裕融
1162,9941A,裕融甲特
1163,9942,茂順
1164,9943,好樂迪
1165,9944,新麗
1166,9945,潤泰新
1167,9946,三發地產
1168,9955,佳龍
1169,9958,世紀鋼
